,date,prcp
0,2017-08-23,0.0
1,2017-08-23,0.0
2,2017-08-23,0.08
3,2017-08-23,0.45
4,2017-08-22,0.0
5,2017-08-22,0.0
6,2017-08-22,0.5
7,2017-08-21,0.0
8,2017-08-21,0.02
9,2017-08-21,
10,2017-08-21,0.56
11,2017-08-20,0.0
12,2017-08-20,0.01
13,2017-08-20,
14,2017-08-19,0.0
15,2017-08-19,0.0
16,2017-08-19,
17,2017-08-19,0.09
18,2017-08-18,0.0
19,2017-08-18,0.0
20,2017-08-18,0.06
21,2017-08-18,
22,2017-08-17,0.0
23,2017-08-17,0.05
24,2017-08-17,0.01
25,2017-08-17,0.13
26,2017-08-16,0.0
27,2017-08-16,0.07
28,2017-08-16,0.12
29,2017-08-16,0.42
30,2017-08-15,0.02
31,2017-08-15,0.0
32,2017-08-15,0.06
33,2017-08-15,0.32
34,2017-08-15,0.42
35,2017-08-14,0.0
36,2017-08-14,0.01
37,2017-08-14,0.08
38,2017-08-14,0.0
39,2017-08-14,0.22
40,2017-08-13,0.0
41,2017-08-13,
42,2017-08-13,0.0
43,2017-08-13,0.0
44,2017-08-13,
45,2017-08-12,0.0
46,2017-08-12,0.0
47,2017-08-12,0.14
48,2017-08-11,0.0
49,2017-08-11,0.0
50,2017-08-11,0.0
51,2017-08-11,
52,2017-08-10,0.0
53,2017-08-10,0.0
54,2017-08-10,0.0
55,2017-08-10,0.07
56,2017-08-09,0.0
57,2017-08-09,0.0
58,2017-08-09,0.15
59,2017-08-08,0.0
60,2017-08-08,0.1
61,2017-08-08,0.0
62,2017-08-08,0.34
63,2017-08-07,0.0
64,2017-08-07,0.0
65,2017-08-07,0.0
66,2017-08-07,0.05
67,2017-08-06,0.0
68,2017-08-06,0.0
69,2017-08-06,0.0
70,2017-08-06,0.0
71,2017-08-06,
72,2017-08-05,0.0
73,2017-08-05,0.06
74,2017-08-05,
75,2017-08-04,0.02
76,2017-08-04,0.04
77,2017-08-04,0.0
78,2017-08-04,0.0
79,2017-08-03,0.0
80,2017-08-03,0.01
81,2017-08-03,0.0
82,2017-08-03,0.06
83,2017-08-02,0.0
84,2017-08-02,0.05
85,2017-08-02,0.0
86,2017-08-02,0.25
87,2017-08-01,0.02
88,2017-08-01,0.12
89,2017-08-01,0.0
90,2017-08-01,
91,2017-07-31,0.0
92,2017-07-31,0.0
93,2017-07-31,
94,2017-07-31,
95,2017-07-31,0.0
96,2017-07-31,0.0
97,2017-07-31,0.0
98,2017-07-30,0.0
99,2017-07-30,0.0
100,2017-07-30,0.0
101,2017-07-30,0.0
102,2017-07-30,0.3
103,2017-07-29,0.0
104,2017-07-29,0.06
105,2017-07-29,0.02
106,2017-07-29,0.0
107,2017-07-29,0.23
108,2017-07-29,0.3
109,2017-07-28,0.0
110,2017-07-28,0.13
111,2017-07-28,0.14
112,2017-07-28,0.01
113,2017-07-28,0.0
114,2017-07-28,0.09
115,2017-07-28,0.4
116,2017-07-27,0.0
117,2017-07-27,0.0
118,2017-07-27,0.0
119,2017-07-27,
120,2017-07-27,0.0
121,2017-07-27,0.01
122,2017-07-27,0.0
123,2017-07-26,0.0
124,2017-07-26,0.06
125,2017-07-26,0.02
126,2017-07-26,
127,2017-07-26,0.0
128,2017-07-26,0.12
129,2017-07-26,0.3
130,2017-07-25,0.0
131,2017-07-25,0.03
132,2017-07-25,0.12
133,2017-07-25,0.0
134,2017-07-25,0.05
135,2017-07-25,0.11
136,2017-07-25,0.3
137,2017-07-24,0.05
138,2017-07-24,0.58
139,2017-07-24,1.19
140,2017-07-24,
141,2017-07-24,0.61
142,2017-07-24,0.84
143,2017-07-23,0.0
144,2017-07-23,0.06
145,2017-07-23,0.07
146,2017-07-23,0.2
147,2017-07-23,0.8
148,2017-07-22,0.03
149,2017-07-22,0.07
150,2017-07-22,0.12
151,2017-07-22,0.0
152,2017-07-22,0.2
153,2017-07-22,4.0
154,2017-07-21,0.0
155,2017-07-21,0.0
156,2017-07-21,0.0
157,2017-07-21,0.0
158,2017-07-21,0.0
159,2017-07-21,0.03
160,2017-07-21,0.1
161,2017-07-20,0.03
162,2017-07-20,0.12
163,2017-07-20,0.0
164,2017-07-20,0.0
165,2017-07-20,0.33
166,2017-07-20,0.06
167,2017-07-20,0.7
168,2017-07-19,0.0
169,2017-07-19,0.09
170,2017-07-19,0.0
171,2017-07-19,0.0
172,2017-07-19,0.05
173,2017-07-19,0.27
174,2017-07-18,0.05
175,2017-07-18,0.03
176,2017-07-18,0.0
177,2017-07-18,0.0
178,2017-07-18,0.0
179,2017-07-18,0.05
180,2017-07-18,2.4
181,2017-07-17,0.03
182,2017-07-17,0.12
183,2017-07-17,0.16
184,2017-07-17,0.0
185,2017-07-17,0.21
186,2017-07-17,0.39
187,2017-07-16,0.02
188,2017-07-16,0.07
189,2017-07-16,0.12
190,2017-07-16,0.0
191,2017-07-16,0.1
192,2017-07-16,0.5
193,2017-07-15,0.0
194,2017-07-15,0.03
195,2017-07-15,0.01
196,2017-07-15,0.0
197,2017-07-15,0.05
198,2017-07-15,0.1
199,2017-07-14,0.02
200,2017-07-14,0.05
201,2017-07-14,0.0
202,2017-07-14,0.0
203,2017-07-14,0.2
204,2017-07-14,0.68
205,2017-07-13,0.07
206,2017-07-13,0.33
207,2017-07-13,0.3
208,2017-07-13,
209,2017-07-13,0.11
210,2017-07-13,0.32
211,2017-07-13,0.68
212,2017-07-12,0.0
213,2017-07-12,0.01
214,2017-07-12,0.02
215,2017-07-12,
216,2017-07-12,0.0
217,2017-07-12,0.28
218,2017-07-12,0.05
219,2017-07-11,0.0
220,2017-07-11,0.01
221,2017-07-11,0.0
222,2017-07-11,
223,2017-07-11,0.0
224,2017-07-11,0.02
225,2017-07-11,0.0
226,2017-07-10,0.0
227,2017-07-10,0.0
228,2017-07-10,0.0
229,2017-07-10,
230,2017-07-10,0.0
231,2017-07-10,0.02
232,2017-07-10,0.02
233,2017-07-09,0.0
234,2017-07-09,0.09
235,2017-07-09,0.0
236,2017-07-09,0.0
237,2017-07-09,0.11
238,2017-07-09,0.0
239,2017-07-08,0.0
240,2017-07-08,0.02
241,2017-07-08,0.06
242,2017-07-08,0.0
243,2017-07-08,0.0
244,2017-07-08,0.02
245,2017-07-07,0.0
246,2017-07-07,0.02
247,2017-07-07,
248,2017-07-07,
249,2017-07-07,0.0
250,2017-07-07,0.18
251,2017-07-07,0.3
252,2017-07-06,0.0
253,2017-07-06,0.0
254,2017-07-06,
255,2017-07-06,0.0
256,2017-07-06,0.0
257,2017-07-06,0.02
258,2017-07-05,0.0
259,2017-07-05,0.0
260,2017-07-05,
261,2017-07-05,
262,2017-07-05,
263,2017-07-05,0.0
264,2017-07-05,0.0
265,2017-07-04,0.04
266,2017-07-04,0.03
267,2017-07-04,0.08
